[56, '27', 'Roi[Traced,', 'x=220,', 'y=25,', 'width=6,', 'height=5]']
[57, '117', 'Roi[Traced,', 'x=411,', 'y=25,', 'width=15,', 'height=11]']
[58, '132', 'Roi[Traced,', 'x=300,', 'y=26,', 'width=18,', 'height=12]']
[59, '26', 'Roi[Traced,', 'x=25,', 'y=27,', 'width=7,', 'height=5]']
[60, '22', 'Roi[Traced,', 'x=338,', 'y=29,', 'width=7,', 'height=5]']
[61, '138', 'Roi[Traced,', 'x=237,', 'y=30,', 'width=17,', 'height=13]']
[62, '3', 'Roi[Traced,', 'x=256,', 'y=30,', 'width=2,', 'height=2]']
[63, '27', 'Roi[Traced,', 'x=394,', 'y=30,', 'width=6,', 'height=6]']
[64, '203', 'Roi[Traced,', 'x=463,', 'y=30,', 'width=20,', 'height=14]']
[65, '32', 'Roi[Traced,', 'x=74,', 'y=31,', 'width=6,', 'height=7]']
[66, '23', 'Roi[Traced,', 'x=182,', 'y=31,', 'width=6,', 'height=5]']
[67, '221', 'Roi[Traced,', 'x=355,', 'y=31,', 'width=17,', 'height=18]']
[68, '104', 'Roi[Traced,', 'x=33,', 'y=32,', 'width=16,', 'height=9]']
[69, '55', 'Roi[Traced,', 'x=112,', 'y=34,', 'width=8,', 'height=9]']
[70, '71', 'Roi[Traced,', 'x=98,', 'y=35,', 'width=8,', 'height=11]']
[71, '156', 'Roi[Traced,', 'x=139,', 'y=36,', 'width=14,', 'height=22]']
[72, '30', 'Roi[Traced,', 'x=224,', 'y=36,', 'width=8,', 'height=5]']
[73, '86', 'Roi[Traced,', 'x=324,', 'y=36,', 'width=14,', 'height=9]']
[74, '24', 'Roi[Traced,', 'x=4,', 'y=37,', 'width=6,', 'height=5]']
[75, '3', 'Roi[Traced,', 'x=12,', 'y=37,', 'width=2,', 'height=2]']
[76, '51', 'Roi[Traced,', 'x=339,', 'y=37,', 'width=10,', 'height=7]']
[77, '228', 'Roi[Traced,', 'x=408,', 'y=37,', 'width=26,', 'height=17]']
[78, '115', 'Roi[Traced,', 'x=376,', 'y=38,', 'width=16,', 'height=12]']
[79, '157', 'Roi[Traced,', 'x=261,', 'y=39,', 'width=19,', 'height=14]']
[80, '32', 'Roi[Traced,', 'x=300,', 'y=39,', 'width=9,', 'height=6]']
[81, '99', 'Roi[Traced,', 'x=391,', 'y=39,', 'width=13,', 'height=11]']
[82, '54', 'Roi[Traced,', 'x=84,', 'y=40,', 'width=9,', 'height=9]']
[83, '54', 'Roi[Traced,', 'x=216,', 'y=40,', 'width=10,', 'height=10]']
[84, '110', 'Roi[Traced,', 'x=441,', 'y=40,', 'width=19,', 'height=9]']
[85, '225', 'Roi[Traced,', 'x=12,', 'y=41,', 'width=23,', 'height=18]']
[86, '54', 'Roi[Traced,', 'x=107,', 'y=41,', 'width=8,', 'height=9]']
[87, '8', 'Roi[Traced,', 'x=284,', 'y=41,', 'width=3,', 'height=5]']
[88, '120', 'Roi[Traced,', 'x=152,', 'y=43,', 'width=14,', 'height=15]']
[89, '27', 'Roi[Traced,', 'x=233,', 'y=43,', 'width=7,', 'height=7]']
[90, '22', 'Roi[Traced,', 'x=255,', 'y=43,', 'width=5,', 'height=6]']
[91, '129', 'Roi[Traced,', 'x=194,', 'y=44,', 'width=14,', 'height=11]']
[92, '79', 'Roi[Traced,', 'x=0,', 'y=45,', 'width=11,', 'height=12]']
[93, '11', 'Roi[Traced,', 'x=134,', 'y=45,', 'width=4,', 'height=4]']
[94, '31', 'Roi[Traced,', 'x=41,', 'y=46,', 'width=9,', 'height=5]']
[95, '67', 'Roi[Traced,', 'x=94,', 'y=46,', 'width=11,', 'height=10]']
[96, '272', 'Roi[Traced,', 'x=437,', 'y=48,', 'width=23,', 'height=19]']
[97, '63', 'Roi[Traced,', 'x=53,', 'y=49,', 'width=11,', 'height=9]']
[98, '29', 'Roi[Traced,', 'x=168,', 'y=49,', 'width=6,', 'height=6]']
[99, '61', 'Roi[Traced,', 'x=65,', 'y=50,', 'width=10,', 'height=8]']
[100, '26', 'Roi[Traced,', 'x=280,', 'y=50,', 'width=6,', 'height=7]']
[101, '46', 'Roi[Traced,', 'x=295,', 'y=50,', 'width=9,', 'height=7]']
[102, '222', 'Roi[Traced,', 'x=299,', 'y=50,', 'width=21,', 'height=18]']
[103, '28', 'Roi[Traced,', 'x=338,', 'y=50,', 'width=6,', 'height=7]']
[104, '60', 'Roi[Traced,', 'x=108,', 'y=51,', 'width=8,', 'height=9]']
[105, '202', 'Roi[Traced,', 'x=473,', 'y=51,', 'width=15,', 'height=18]']
[106, '87', 'Roi[Traced,', 'x=36,', 'y=52,', 'width=11,', 'height=12]']
[107, '62', 'Roi[Traced,', 'x=91,', 'y=54,', 'width=10,', 'height=8]']
[108, '24', 'Roi[Traced,', 'x=119,', 'y=54,', 'width=5,', 'height=6]']
[109, '134', 'Roi[Traced,', 'x=361,', 'y=54,', 'width=17,', 'height=13]']
[110, '9', 'Roi[Traced,', 'x=192,', 'y=56,', 'width=4,', 'height=4]']
[111, '7', 'Roi[Traced,', 'x=434,', 'y=57,', 'width=3,', 'height=3]']
[112, '125', 'Roi[Traced,', 'x=53,', 'y=58,', 'width=13,', 'height=13]']
