[108, 'area=725', 'Roi[Traced,', 'x=121,', 'y=241,', 'width=29,', 'height=29]']
[109, 'area=725', 'Roi[Traced,', 'x=151,', 'y=241,', 'width=29,', 'height=29]']
[110, 'area=725', 'Roi[Traced,', 'x=181,', 'y=241,', 'width=29,', 'height=29]']
[111, 'area=725', 'Roi[Traced,', 'x=211,', 'y=241,', 'width=29,', 'height=29]']
[112, 'area=725', 'Roi[Traced,', 'x=241,', 'y=241,', 'width=29,', 'height=29]']
[113, 'area=725', 'Roi[Traced,', 'x=271,', 'y=241,', 'width=29,', 'height=29]']
[114, 'area=725', 'Roi[Traced,', 'x=301,', 'y=241,', 'width=29,', 'height=29]']
[115, 'area=725', 'Roi[Traced,', 'x=331,', 'y=241,', 'width=29,', 'height=29]']
[116, 'area=725', 'Roi[Traced,', 'x=361,', 'y=241,', 'width=29,', 'height=29]']
[117, 'area=725', 'Roi[Traced,', 'x=391,', 'y=241,', 'width=29,', 'height=29]']
[118, 'area=725', 'Roi[Traced,', 'x=421,', 'y=241,', 'width=29,', 'height=29]']
[119, 'area=734', 'Roi[Traced,', 'x=451,', 'y=241,', 'width=30,', 'height=29]']
[120, 'area=734', 'Roi[Traced,', 'x=30,', 'y=271,', 'width=30,', 'height=29]']
[121, 'area=725', 'Roi[Traced,', 'x=61,', 'y=271,', 'width=29,', 'height=29]']
[122, 'area=725', 'Roi[Traced,', 'x=91,', 'y=271,', 'width=29,', 'height=29]']
[123, 'area=725', 'Roi[Traced,', 'x=121,', 'y=271,', 'width=29,', 'height=29]']
[124, 'area=725', 'Roi[Traced,', 'x=151,', 'y=271,', 'width=29,', 'height=29]']
[125, 'area=725', 'Roi[Traced,', 'x=181,', 'y=271,', 'width=29,', 'height=29]']
[126, 'area=725', 'Roi[Traced,', 'x=211,', 'y=271,', 'width=29,', 'height=29]']
[127, 'area=725', 'Roi[Traced,', 'x=241,', 'y=271,', 'width=29,', 'height=29]']
[128, 'area=725', 'Roi[Traced,', 'x=271,', 'y=271,', 'width=29,', 'height=29]']
[129, 'area=725', 'Roi[Traced,', 'x=301,', 'y=271,', 'width=29,', 'height=29]']
[130, 'area=725', 'Roi[Traced,', 'x=331,', 'y=271,', 'width=29,', 'height=29]']
[131, 'area=725', 'Roi[Traced,', 'x=361,', 'y=271,', 'width=29,', 'height=29]']
[132, 'area=725', 'Roi[Traced,', 'x=391,', 'y=271,', 'width=29,', 'height=29]']
[133, 'area=725', 'Roi[Traced,', 'x=421,', 'y=271,', 'width=29,', 'height=29]']
[134, 'area=734', 'Roi[Traced,', 'x=451,', 'y=271,', 'width=30,', 'height=29]']
[135, 'area=734', 'Roi[Traced,', 'x=30,', 'y=301,', 'width=30,', 'height=29]']
[136, 'area=725', 'Roi[Traced,', 'x=61,', 'y=301,', 'width=29,', 'height=29]']
[137, 'area=725', 'Roi[Traced,', 'x=91,', 'y=301,', 'width=29,', 'height=29]']
[138, 'area=725', 'Roi[Traced,', 'x=121,', 'y=301,', 'width=29,', 'height=29]']
[139, 'area=725', 'Roi[Traced,', 'x=151,', 'y=301,', 'width=29,', 'height=29]']
[140, 'area=725', 'Roi[Traced,', 'x=181,', 'y=301,', 'width=29,', 'height=29]']
[141, 'area=725', 'Roi[Traced,', 'x=211,', 'y=301,', 'width=29,', 'height=29]']
[142, 'area=725', 'Roi[Traced,', 'x=241,', 'y=301,', 'width=29,', 'height=29]']
[143, 'area=725', 'Roi[Traced,', 'x=271,', 'y=301,', 'width=29,', 'height=29]']
[144, 'area=725', 'Roi[Traced,', 'x=301,', 'y=301,', 'width=29,', 'height=29]']
[145, 'area=725', 'Roi[Traced,', 'x=331,', 'y=301,', 'width=29,', 'height=29]']
[146, 'area=725', 'Roi[Traced,', 'x=361,', 'y=301,', 'width=29,', 'height=29]']
[147, 'area=725', 'Roi[Traced,', 'x=391,', 'y=301,', 'width=29,', 'height=29]']
[148, 'area=725', 'Roi[Traced,', 'x=421,', 'y=301,', 'width=29,', 'height=29]']
[149, 'area=734', 'Roi[Traced,', 'x=451,', 'y=301,', 'width=30,', 'height=29]']
[150, 'area=734', 'Roi[Traced,', 'x=30,', 'y=331,', 'width=30,', 'height=29]']
[151, 'area=725', 'Roi[Traced,', 'x=61,', 'y=331,', 'width=29,', 'height=29]']
[152, 'area=725', 'Roi[Traced,', 'x=91,', 'y=331,', 'width=29,', 'height=29]']
[153, 'area=725', 'Roi[Traced,', 'x=121,', 'y=331,', 'width=29,', 'height=29]']
[154, 'area=725', 'Roi[Traced,', 'x=151,', 'y=331,', 'width=29,', 'height=29]']
[155, 'area=725', 'Roi[Traced,', 'x=181,', 'y=331,', 'width=29,', 'height=29]']
[156, 'area=725', 'Roi[Traced,', 'x=211,', 'y=331,', 'width=29,', 'height=29]']
[157, 'area=725', 'Roi[Traced,', 'x=241,', 'y=331,', 'width=29,', 'height=29]']
[158, 'area=725', 'Roi[Traced,', 'x=271,', 'y=331,', 'width=29,', 'height=29]']
[159, 'area=725', 'Roi[Traced,', 'x=301,', 'y=331,', 'width=29,', 'height=29]']
[160, 'area=725', 'Roi[Traced,', 'x=331,', 'y=331,', 'width=29,', 'height=29]']
