[97, '=88', 'Roi[Traced,', 'x=431,', 'y=37,', 'width=11,', 'height=11]']
[98, '=69', 'Roi[Traced,', 'x=42,', 'y=38,', 'width=10,', 'height=10]']
[99, '=45', 'Roi[Traced,', 'x=67,', 'y=38,', 'width=8,', 'height=9]']
[100, '=100', 'Roi[Traced,', 'x=385,', 'y=38,', 'width=11,', 'height=13]']
[101, '=151', 'Roi[Traced,', 'x=6,', 'y=39,', 'width=17,', 'height=14]']
[102, '=11', 'Roi[Traced,', 'x=87,', 'y=39,', 'width=4,', 'height=3]']
[103, '=259', 'Roi[Traced,', 'x=179,', 'y=39,', 'width=21,', 'height=27]']
[104, '=29', 'Roi[Traced,', 'x=308,', 'y=40,', 'width=5,', 'height=9]']
[105, '=100', 'Roi[Traced,', 'x=396,', 'y=40,', 'width=11,', 'height=14]']
[106, '=84', 'Roi[Traced,', 'x=414,', 'y=40,', 'width=11,', 'height=13]']
[107, '=75', 'Roi[Traced,', 'x=468,', 'y=40,', 'width=10,', 'height=11]']
[108, '=119', 'Roi[Traced,', 'x=172,', 'y=41,', 'width=14,', 'height=12]']
[109, '=23', 'Roi[Traced,', 'x=206,', 'y=41,', 'width=5,', 'height=7]']
[110, '=101', 'Roi[Traced,', 'x=248,', 'y=41,', 'width=14,', 'height=12]']
[111, '=143', 'Roi[Traced,', 'x=456,', 'y=41,', 'width=14,', 'height=19]']
[112, '=131', 'Roi[Traced,', 'x=219,', 'y=42,', 'width=15,', 'height=12]']
[113, '=147', 'Roi[Traced,', 'x=320,', 'y=42,', 'width=12,', 'height=20]']
[114, '=67', 'Roi[Traced,', 'x=564,', 'y=42,', 'width=9,', 'height=12]']
[115, '=75', 'Roi[Traced,', 'x=26,', 'y=43,', 'width=10,', 'height=10]']
[116, '=184', 'Roi[Traced,', 'x=330,', 'y=43,', 'width=22,', 'height=14]']
[117, '=101', 'Roi[Traced,', 'x=484,', 'y=43,', 'width=11,', 'height=15]']
[118, '=141', 'Roi[Traced,', 'x=370,', 'y=44,', 'width=15,', 'height=13]']
[119, '=121', 'Roi[Traced,', 'x=546,', 'y=44,', 'width=15,', 'height=15]']
[120, '=23', 'Roi[Traced,', 'x=617,', 'y=44,', 'width=4,', 'height=7]']
[121, '=91', 'Roi[Traced,', 'x=82,', 'y=45,', 'width=13,', 'height=10]']
[122, '=179', 'Roi[Traced,', 'x=499,', 'y=46,', 'width=20,', 'height=15]']
[123, '=193', 'Roi[Traced,', 'x=630,', 'y=46,', 'width=17,', 'height=20]']
[124, '=36', 'Roi[Traced,', 'x=362,', 'y=47,', 'width=6,', 'height=8]']
[125, '=3', 'Roi[Traced,', 'x=608,', 'y=47,', 'width=2,', 'height=2]']
[126, '=96', 'Roi[Traced,', 'x=51,', 'y=48,', 'width=11,', 'height=11]']
[127, '=79', 'Roi[Traced,', 'x=71,', 'y=49,', 'width=12,', 'height=10]']
[128, '=64', 'Roi[Traced,', 'x=139,', 'y=49,', 'width=10,', 'height=9]']
[129, '=115', 'Roi[Traced,', 'x=205,', 'y=49,', 'width=18,', 'height=11]']
[130, '=50', 'Roi[Traced,', 'x=431,', 'y=49,', 'width=8,', 'height=8]']
[131, '=123', 'Roi[Traced,', 'x=446,', 'y=50,', 'width=16,', 'height=16]']
[132, '=187', 'Roi[Traced,', 'x=470,', 'y=50,', 'width=16,', 'height=19]']
[133, '=135', 'Roi[Traced,', 'x=404,', 'y=51,', 'width=14,', 'height=15]']
[134, '=61', 'Roi[Traced,', 'x=1,', 'y=52,', 'width=8,', 'height=10]']
[135, '=54', 'Roi[Traced,', 'x=296,', 'y=52,', 'width=9,', 'height=9]']
[136, '=176', 'Roi[Traced,', 'x=595,', 'y=52,', 'width=15,', 'height=17]']
[137, '=49', 'Roi[Traced,', 'x=61,', 'y=53,', 'width=9,', 'height=8]']
[138, '=65', 'Roi[Traced,', 'x=258,', 'y=53,', 'width=9,', 'height=10]']
[139, '=64', 'Roi[Traced,', 'x=272,', 'y=53,', 'width=8,', 'height=10]']
[140, '=103', 'Roi[Traced,', 'x=514,', 'y=53,', 'width=11,', 'height=14]']
[141, '=4', 'Roi[Traced,', 'x=648,', 'y=53,', 'width=2,', 'height=3]']
[142, '=135', 'Roi[Traced,', 'x=193,', 'y=55,', 'width=14,', 'height=13]']
