[138, '=316', 'Roi[Traced,', 'x=578,', 'y=241,', 'width=22,', 'height=21]']
[139, '=298', 'Roi[Traced,', 'x=407,', 'y=242,', 'width=27,', 'height=22]']
[140, '=253', 'Roi[Traced,', 'x=460,', 'y=242,', 'width=21,', 'height=19]']
[141, '=412', 'Roi[Traced,', 'x=49,', 'y=252,', 'width=25,', 'height=25]']
[142, '=54', 'Roi[Traced,', 'x=499,', 'y=252,', 'width=8,', 'height=9]']
[143, '=183', 'Roi[Traced,', 'x=420,', 'y=255,', 'width=16,', 'height=16]']
[144, '=163', 'Roi[Traced,', 'x=1,', 'y=256,', 'width=20,', 'height=21]']
[145, '=167', 'Roi[Traced,', 'x=8,', 'y=258,', 'width=21,', 'height=21]']
[146, '=509', 'Roi[Traced,', 'x=86,', 'y=259,', 'width=24,', 'height=34]']
[147, '=327', 'Roi[Traced,', 'x=421,', 'y=260,', 'width=24,', 'height=24]']
[148, '=450', 'Roi[Traced,', 'x=166,', 'y=261,', 'width=24,', 'height=23]']
[149, '=352', 'Roi[Traced,', 'x=125,', 'y=266,', 'width=24,', 'height=25]']
[150, '=616', 'Roi[Traced,', 'x=540,', 'y=267,', 'width=29,', 'height=28]']
[151, '=298', 'Roi[Traced,', 'x=586,', 'y=267,', 'width=14,', 'height=29]']
[152, '=184', 'Roi[Traced,', 'x=248,', 'y=268,', 'width=22,', 'height=20]']
[153, '=171', 'Roi[Traced,', 'x=77,', 'y=271,', 'width=12,', 'height=23]']
[154, '=599', 'Roi[Traced,', 'x=302,', 'y=271,', 'width=28,', 'height=31]']
[155, '=587', 'Roi[Traced,', 'x=358,', 'y=273,', 'width=32,', 'height=29]']
[156, '=185', 'Roi[Traced,', 'x=241,', 'y=275,', 'width=22,', 'height=18]']
[157, '=384', 'Roi[Traced,', 'x=337,', 'y=279,', 'width=21,', 'height=26]']
[158, '=29', 'Roi[Traced,', 'x=16,', 'y=283,', 'width=6,', 'height=7]']
[159, '=79', 'Roi[Traced,', 'x=0,', 'y=284,', 'width=5,', 'height=22]']
[160, '=363', 'Roi[Traced,', 'x=187,', 'y=284,', 'width=26,', 'height=25]']
[161, '=522', 'Roi[Traced,', 'x=489,', 'y=286,', 'width=27,', 'height=23]']
[162, '=212', 'Roi[Traced,', 'x=19,', 'y=293,', 'width=18,', 'height=22]']
[163, '=226', 'Roi[Traced,', 'x=9,', 'y=295,', 'width=19,', 'height=23]']
