[144, 'area=8013', 'Roi[Traced,', 'x=6040,', 'y=210,', 'width=101,', 'height=101]']
[145, 'area=8013', 'Roi[Traced,', 'x=6150,', 'y=210,', 'width=101,', 'height=101]']
[146, 'area=8013', 'Roi[Traced,', 'x=6260,', 'y=210,', 'width=101,', 'height=101]']
[147, 'area=8013', 'Roi[Traced,', 'x=6370,', 'y=210,', 'width=101,', 'height=101]']
[148, 'area=8013', 'Roi[Traced,', 'x=6480,', 'y=210,', 'width=101,', 'height=101]']
[149, 'area=8013', 'Roi[Traced,', 'x=6590,', 'y=210,', 'width=101,', 'height=101]']
[150, 'area=8013', 'Roi[Traced,', 'x=6700,', 'y=210,', 'width=101,', 'height=101]']
[151, 'area=8013', 'Roi[Traced,', 'x=6810,', 'y=210,', 'width=101,', 'height=101]']
[152, 'area=8013', 'Roi[Traced,', 'x=6920,', 'y=210,', 'width=101,', 'height=101]']
[153, 'area=8013', 'Roi[Traced,', 'x=7030,', 'y=210,', 'width=101,', 'height=101]']
[154, 'area=8013', 'Roi[Traced,', 'x=7140,', 'y=210,', 'width=101,', 'height=101]']
[155, 'area=8013', 'Roi[Traced,', 'x=7250,', 'y=210,', 'width=101,', 'height=101]']
[156, 'area=8013', 'Roi[Traced,', 'x=7360,', 'y=210,', 'width=101,', 'height=101]']
[157, 'area=8013', 'Roi[Traced,', 'x=7470,', 'y=210,', 'width=101,', 'height=101]']
[158, 'area=8013', 'Roi[Traced,', 'x=7580,', 'y=210,', 'width=101,', 'height=101]']
[159, 'area=8013', 'Roi[Traced,', 'x=7690,', 'y=210,', 'width=101,', 'height=101]']
[160, 'area=8013', 'Roi[Traced,', 'x=7800,', 'y=210,', 'width=101,', 'height=101]']
[161, 'area=8013', 'Roi[Traced,', 'x=7910,', 'y=210,', 'width=101,', 'height=101]']
[162, 'area=8013', 'Roi[Traced,', 'x=8020,', 'y=210,', 'width=101,', 'height=101]']
[163, 'area=8013', 'Roi[Traced,', 'x=8130,', 'y=210,', 'width=101,', 'height=101]']
[164, 'area=8013', 'Roi[Traced,', 'x=8240,', 'y=210,', 'width=101,', 'height=101]']
[165, 'area=8013', 'Roi[Traced,', 'x=8350,', 'y=210,', 'width=101,', 'height=101]']
[166, 'area=8013', 'Roi[Traced,', 'x=8460,', 'y=210,', 'width=101,', 'height=101]']
[167, 'area=8013', 'Roi[Traced,', 'x=8570,', 'y=210,', 'width=101,', 'height=101]']
[168, 'area=8013', 'Roi[Traced,', 'x=8680,', 'y=210,', 'width=101,', 'height=101]']
[169, 'area=8013', 'Roi[Traced,', 'x=8790,', 'y=210,', 'width=101,', 'height=101]']
[170, 'area=8013', 'Roi[Traced,', 'x=8900,', 'y=210,', 'width=101,', 'height=101]']
[171, 'area=8013', 'Roi[Traced,', 'x=9010,', 'y=210,', 'width=101,', 'height=101]']
[172, 'area=8013', 'Roi[Traced,', 'x=9120,', 'y=210,', 'width=101,', 'height=101]']
[173, 'area=8013', 'Roi[Traced,', 'x=9230,', 'y=210,', 'width=101,', 'height=101]']
[174, 'area=8013', 'Roi[Traced,', 'x=9340,', 'y=210,', 'width=101,', 'height=101]']
[175, 'area=8013', 'Roi[Traced,', 'x=9450,', 'y=210,', 'width=101,', 'height=101]']
[176, 'area=8013', 'Roi[Traced,', 'x=9560,', 'y=210,', 'width=101,', 'height=101]']
[177, 'area=8013', 'Roi[Traced,', 'x=9670,', 'y=210,', 'width=101,', 'height=101]']
[178, 'area=8013', 'Roi[Traced,', 'x=9780,', 'y=210,', 'width=101,', 'height=101]']
[179, 'area=8013', 'Roi[Traced,', 'x=9890,', 'y=210,', 'width=101,', 'height=101]']
[180, 'area=2836', 'Roi[Traced,', 'x=100,', 'y=320,', 'width=101,', 'height=101]']
[181, 'area=2836', 'Roi[Traced,', 'x=210,', 'y=320,', 'width=101,', 'height=101]']
[182, 'area=2836', 'Roi[Traced,', 'x=320,', 'y=320,', 'width=101,', 'height=101]']
[183, 'area=2836', 'Roi[Traced,', 'x=430,', 'y=320,', 'width=101,', 'height=101]']
[184, 'area=2836', 'Roi[Traced,', 'x=540,', 'y=320,', 'width=101,', 'height=101]']
[185, 'area=2836', 'Roi[Traced,', 'x=650,', 'y=320,', 'width=101,', 'height=101]']
[186, 'area=2836', 'Roi[Traced,', 'x=760,', 'y=320,', 'width=101,', 'height=101]']
[187, 'area=2836', 'Roi[Traced,', 'x=870,', 'y=320,', 'width=101,', 'height=101]']
[188, 'area=2836', 'Roi[Traced,', 'x=980,', 'y=320,', 'width=101,', 'height=101]']
[189, 'area=2836', 'Roi[Traced,', 'x=1090,', 'y=320,', 'width=101,', 'height=101]']
[190, 'area=2836', 'Roi[Traced,', 'x=1200,', 'y=320,', 'width=101,', 'height=101]']
[191, 'area=2836', 'Roi[Traced,', 'x=1310,', 'y=320,', 'width=101,', 'height=101]']
[192, 'area=2836', 'Roi[Traced,', 'x=1420,', 'y=320,', 'width=101,', 'height=101]']
[193, 'area=2836', 'Roi[Traced,', 'x=1530,', 'y=320,', 'width=101,', 'height=101]']
[194, 'area=2836', 'Roi[Traced,', 'x=1640,', 'y=320,', 'width=101,', 'height=101]']
[195, 'area=2836', 'Roi[Traced,', 'x=1750,', 'y=320,', 'width=101,', 'height=101]']
[196, 'area=2836', 'Roi[Traced,', 'x=1860,', 'y=320,', 'width=101,', 'height=101]']
[197, 'area=2836', 'Roi[Traced,', 'x=1970,', 'y=320,', 'width=101,', 'height=101]']
[198, 'area=2836', 'Roi[Traced,', 'x=2080,', 'y=320,', 'width=101,', 'height=101]']
[199, 'area=2836', 'Roi[Traced,', 'x=2190,', 'y=320,', 'width=101,', 'height=101]']
[200, 'area=2836', 'Roi[Traced,', 'x=2300,', 'y=320,', 'width=101,', 'height=101]']
[201, 'area=2836', 'Roi[Traced,', 'x=2410,', 'y=320,', 'width=101,', 'height=101]']
[202, 'area=2836', 'Roi[Traced,', 'x=2520,', 'y=320,', 'width=101,', 'height=101]']
[203, 'area=2836', 'Roi[Traced,', 'x=2630,', 'y=320,', 'width=101,', 'height=101]']
[204, 'area=2836', 'Roi[Traced,', 'x=2740,', 'y=320,', 'width=101,', 'height=101]']
[205, 'area=2836', 'Roi[Traced,', 'x=2850,', 'y=320,', 'width=101,', 'height=101]']
[206, 'area=2836', 'Roi[Traced,', 'x=2960,', 'y=320,', 'width=101,', 'height=101]']
[207, 'area=2836', 'Roi[Traced,', 'x=3070,', 'y=320,', 'width=101,', 'height=101]']
[208, 'area=2836', 'Roi[Traced,', 'x=3180,', 'y=320,', 'width=101,', 'height=101]']
[209, 'area=2836', 'Roi[Traced,', 'x=3290,', 'y=320,', 'width=101,', 'height=101]']
[210, 'area=2836', 'Roi[Traced,', 'x=3400,', 'y=320,', 'width=101,', 'height=101]']
[211, 'area=2836', 'Roi[Traced,', 'x=3510,', 'y=320,', 'width=101,', 'height=101]']
[212, 'area=2836', 'Roi[Traced,', 'x=3620,', 'y=320,', 'width=101,', 'height=101]']
[213, 'area=2836', 'Roi[Traced,', 'x=3730,', 'y=320,', 'width=101,', 'height=101]']
[214, 'area=2836', 'Roi[Traced,', 'x=3840,', 'y=320,', 'width=101,', 'height=101]']
[215, 'area=2836', 'Roi[Traced,', 'x=3950,', 'y=320,', 'width=101,', 'height=101]']
[216, 'area=2836', 'Roi[Traced,', 'x=4060,', 'y=320,', 'width=101,', 'height=101]']
[217, 'area=2836', 'Roi[Traced,', 'x=4170,', 'y=320,', 'width=101,', 'height=101]']
[218, 'area=2836', 'Roi[Traced,', 'x=4280,', 'y=320,', 'width=101,', 'height=101]']
[219, 'area=2836', 'Roi[Traced,', 'x=4390,', 'y=320,', 'width=101,', 'height=101]']
[220, 'area=2836', 'Roi[Traced,', 'x=4500,', 'y=320,', 'width=101,', 'height=101]']
[221, 'area=2836', 'Roi[Traced,', 'x=4610,', 'y=320,', 'width=101,', 'height=101]']
[222, 'area=2836', 'Roi[Traced,', 'x=4720,', 'y=320,', 'width=101,', 'height=101]']
[223, 'area=2836', 'Roi[Traced,', 'x=4830,', 'y=320,', 'width=101,', 'height=101]']
[224, 'area=2836', 'Roi[Traced,', 'x=4940,', 'y=320,', 'width=101,', 'height=101]']
[225, 'area=8013', 'Roi[Traced,', 'x=5050,', 'y=320,', 'width=101,', 'height=101]']
[226, 'area=8013', 'Roi[Traced,', 'x=5160,', 'y=320,', 'width=101,', 'height=101]']
