[114, 'area=8', 'Roi[Traced,', 'x=199,', 'y=58,', 'width=4,', 'height=3]']
[115, 'area=25', 'Roi[Traced,', 'x=287,', 'y=58,', 'width=6,', 'height=5]']
[116, 'area=140', 'Roi[Traced,', 'x=411,', 'y=59,', 'width=16,', 'height=12]']
[117, 'area=325', 'Roi[Traced,', 'x=451,', 'y=59,', 'width=30,', 'height=19]']
[118, 'area=120', 'Roi[Traced,', 'x=77,', 'y=61,', 'width=14,', 'height=14]']
[119, 'area=25', 'Roi[Traced,', 'x=116,', 'y=61,', 'width=6,', 'height=6]']
[120, 'area=89', 'Roi[Traced,', 'x=153,', 'y=61,', 'width=11,', 'height=17]']
[121, 'area=105', 'Roi[Traced,', 'x=0,', 'y=62,', 'width=13,', 'height=13]']
[122, 'area=103', 'Roi[Traced,', 'x=102,', 'y=62,', 'width=10,', 'height=16]']
[123, 'area=39', 'Roi[Traced,', 'x=385,', 'y=62,', 'width=8,', 'height=7]']
[124, 'area=79', 'Roi[Traced,', 'x=92,', 'y=63,', 'width=9,', 'height=11]']
[125, 'area=240', 'Roi[Traced,', 'x=393,', 'y=63,', 'width=19,', 'height=21]']
[126, 'area=17', 'Roi[Traced,', 'x=46,', 'y=64,', 'width=5,', 'height=5]']
[127, 'area=135', 'Roi[Traced,', 'x=285,', 'y=64,', 'width=17,', 'height=11]']
[128, 'area=215', 'Roi[Traced,', 'x=61,', 'y=65,', 'width=14,', 'height=23]']
[129, 'area=95', 'Roi[Traced,', 'x=274,', 'y=66,', 'width=11,', 'height=11]']
[130, 'area=122', 'Roi[Traced,', 'x=208,', 'y=67,', 'width=14,', 'height=13]']
[131, 'area=3', 'Roi[Traced,', 'x=43,', 'y=68,', 'width=2,', 'height=2]']
[132, 'area=205', 'Roi[Traced,', 'x=300,', 'y=68,', 'width=25,', 'height=14]']
[133, 'area=108', 'Roi[Traced,', 'x=12,', 'y=69,', 'width=16,', 'height=11]']
[134, 'area=213', 'Roi[Traced,', 'x=431,', 'y=69,', 'width=20,', 'height=16]']
[135, 'area=79', 'Roi[Traced,', 'x=116,', 'y=70,', 'width=9,', 'height=16]']
[136, 'area=93', 'Roi[Traced,', 'x=223,', 'y=70,', 'width=10,', 'height=15]']
[137, 'area=138', 'Roi[Traced,', 'x=255,', 'y=72,', 'width=20,', 'height=10]']
[138, 'area=79', 'Roi[Traced,', 'x=337,', 'y=72,', 'width=10,', 'height=11]']
[139, 'area=57', 'Roi[Traced,', 'x=350,', 'y=72,', 'width=12,', 'height=10]']
[140, 'area=249', 'Roi[Traced,', 'x=32,', 'y=73,', 'width=21,', 'height=19]']
[141, 'area=126', 'Roi[Traced,', 'x=287,', 'y=75,', 'width=16,', 'height=12]']
[142, 'area=64', 'Roi[Traced,', 'x=1,', 'y=76,', 'width=10,', 'height=9]']
[143, 'area=90', 'Roi[Traced,', 'x=126,', 'y=76,', 'width=10,', 'height=13]']
[144, 'area=208', 'Roi[Traced,', 'x=376,', 'y=76,', 'width=22,', 'height=16]']
[145, 'area=275', 'Roi[Traced,', 'x=449,', 'y=76,', 'width=24,', 'height=22]']
[146, 'area=181', 'Roi[Traced,', 'x=413,', 'y=77,', 'width=19,', 'height=16]']
[147, 'area=242', 'Roi[Traced,', 'x=150,', 'y=78,', 'width=19,', 'height=25]']
[148, 'area=108', 'Roi[Traced,', 'x=182,', 'y=78,', 'width=12,', 'height=12]']
[149, 'area=14', 'Roi[Traced,', 'x=240,', 'y=78,', 'width=4,', 'height=5]']
[150, 'area=11', 'Roi[Traced,', 'x=24,', 'y=80,', 'width=5,', 'height=3]']
[151, 'area=182', 'Roi[Traced,', 'x=136,', 'y=80,', 'width=13,', 'height=26]']
[152, 'area=24', 'Roi[Traced,', 'x=246,', 'y=81,', 'width=7,', 'height=5]']
[153, 'area=55', 'Roi[Traced,', 'x=204,', 'y=82,', 'width=11,', 'height=8]']
[154, 'area=177', 'Roi[Traced,', 'x=426,', 'y=82,', 'width=20,', 'height=13]']
[155, 'area=56', 'Roi[Traced,', 'x=54,', 'y=83,', 'width=9,', 'height=8]']
[156, 'area=194', 'Roi[Traced,', 'x=84,', 'y=83,', 'width=24,', 'height=21]']
[157, 'area=32', 'Roi[Traced,', 'x=168,', 'y=83,', 'width=7,', 'height=6]']
[158, 'area=136', 'Roi[Traced,', 'x=272,', 'y=83,', 'width=15,', 'height=12]']
[159, 'area=51', 'Roi[Traced,', 'x=303,', 'y=83,', 'width=10,', 'height=8]']
[160, 'area=27', 'Roi[Traced,', 'x=241,', 'y=84,', 'width=6,', 'height=8]']
[161, 'area=112', 'Roi[Traced,', 'x=0,', 'y=85,', 'width=10,', 'height=25]']
[162, 'area=92', 'Roi[Traced,', 'x=68,', 'y=86,', 'width=14,', 'height=10]']
[163, 'area=148', 'Roi[Traced,', 'x=314,', 'y=86,', 'width=17,', 'height=14]']
[164, 'area=88', 'Roi[Traced,', 'x=401,', 'y=88,', 'width=15,', 'height=9]']
[165, 'area=71', 'Roi[Traced,', 'x=123,', 'y=89,', 'width=10,', 'height=9]']
[166, 'area=24', 'Roi[Traced,', 'x=229,', 'y=89,', 'width=5,', 'height=6]']
[167, 'area=24', 'Roi[Traced,', 'x=290,', 'y=89,', 'width=8,', 'height=5]']
[168, 'area=61', 'Roi[Traced,', 'x=37,', 'y=91,', 'width=8,', 'height=10]']
[169, 'area=102', 'Roi[Traced,', 'x=183,', 'y=91,', 'width=12,', 'height=12]']
